RecordingName,Transcription,Start,End,Emotion,category
Ses01F_impro02_F009,like you sign up because you need money and,91.55,95.88,SADNESS,train
Ses01F_impro02_F010,things just aren't what they seem.,97.94,102.19,SADNESS,train
Ses01F_impro02_F011,"We're doing the right thing, though.",107.68,111.0153,SADNESS,train
Ses01F_impro02_F012,"If not me then, who?",117.83,120.8605,SADNESS,train
Ses01F_impro02_F013,"You'll videotape everything, yeah?",127.82,133.9455,SADNESS,train
Ses01F_impro02_F014,"Maybe you can send it to me, like stream it, yeah?",139.03,146.43,SADNESS,train
Ses01F_impro02_F015,Last month--  Yeah.,151.4221,155.01,SADNESS,test
Ses01F_impro02_F016,I have to find sitters.,163.54,165.73,NEUTRAL STATE,test
Ses01F_impro02_F017,"We've got friends, that's why we moved here, huh?  Because there is a day care down the street.",169.36,176.015,SADNESS,validate
Ses01F_impro02_F018,And your mother is close by.,176.08,179.13,NEUTRAL STATE,train
Ses01F_impro02_F019,I'll send you lots of letters.,182.83,185.8894,SADNESS,train
Ses01F_impro02_F020,And I want lots and lots and lots of pictures.,186.58,191.11,SADNESS,train
Ses01F_impro02_M000,It's not fair.,17.6,20.6264,SADNESS,train
Ses01F_impro02_M001,"I don't understand.  You've already done so much, I don't know why do you have to go back.",21.76,27.5558,SADNESS,validate
Ses01F_impro02_M002,"I don't know, it's just not fair.  I think you've already made your sacrifice.",38.85,45.09,FRUSTRATION,train
Ses01F_impro02_M003,I just don't see how they can make you leave when you have a new baby - we have a new kid.,52.71,59.0534,FRUSTRATION,test
Ses01F_impro02_M004,Then why is that fair?  Why--,61.75,65.055,SADNESS,train
Ses01F_impro02_M005,I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.,69.34,74.29,SADNESS,train
Ses01F_impro02_M006,I'm just trying to think of another way.  I'm just trying to...,80.03,86.99,SADNESS,train
Ses01F_impro02_M007,This is a stupid war.,103.27,107.1,ANGER,validate
Ses01F_impro02_M008,I know.,110.5653,113.2,FRUSTRATION,test
Ses01F_impro02_M009,I just don't see why it has to be you.,114.1775,117.85,SADNESS,train
Ses01F_impro02_M010,What am I going to do? Huh?,120.4105,124.63,SADNESS,train
Ses01F_impro02_M011,Yeah.,133.88,137.1,SADNESS,test
Ses01F_impro02_M012,Don't you guys have access to computers over there.,147.03,151.7101,NEUTRAL STATE,train
Ses01F_impro02_M013,I just don't know how I'm going to do it without you.,157.98,162.71,SADNESS,test
Ses01F_impro02_M014,I can't raise a baby by myself.  How?,164.885,169.5,SADNESS,train
Ses01F_impro02_M015,I know.,175.47,176.72,NEUTRAL STATE,train
Ses01F_impro02_M016,It's just not fair.,195.1047,199.52,FRUSTRATION,train
Ses01F_impro03_F000,Well Vegas was awesome.,4.88,7.74,HAPPINESS,train
Ses01F_impro03_F001,"And, um, I got married.",7.93,11.37,HAPPINESS,train
Ses01F_impro03_F002,Yeah.  In the old town part.,12.8,15.37,HAPPINESS,train
Ses01F_impro03_F003,Chuck. [LAUGHTER],15.87,20.4867,EXCITED,train
Ses01F_impro03_F004,Um- Yes.  It was very romantic.,21.75,25.52,HAPPINESS,train
Ses01F_impro03_F005,It was at the slot machines.,25.5584,28.14,HAPPINESS,train
Ses01F_impro03_F006,"Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride.",28.37,34.71,HAPPINESS,train
Ses01F_impro03_F007,Hey.  Let's get married and I said okay.,35.6349,40.1,EXCITED,train
Ses01F_impro03_F008,"Yeah.  Well.  You know, because he's leaving the next day.",40.12,42.79,HAPPINESS,test
Ses01F_impro03_F009,But we're going to have a honeymoon cruise.,42.84,44.54,HAPPINESS,train
Ses01F_impro03_F010,Oh.  I hadn't even thought about that.,47.87,51.075,HAPPINESS,train
Ses01F_impro03_F011,"He's not going to be a citizen, though.",51.36,53.4925,EXCITED,test
Ses01F_impro03_F012,Oh.  Totally.,55.865,58.15,HAPPINESS,train
Ses01F_impro03_F013,I guess I'll-  I guess I'll have an internet husband.[LAUGHTER],60.73,65.86,HAPPINESS,test
Ses01F_impro03_F014,I have an internet boyfriend.  I guess I'll have to juggle the two.  Is that cheating?  I don't know. Hmm.,68.01,73.75,EXCITED,train
Ses01F_impro03_F015,"Yeah, so [LAUGHTER] He's calling me now",74.2675,78.8425,EXCITED,train
Ses01F_impro03_F016,"He likes to keep tabs, you know.",79.035,81.0875,HAPPINESS,train
Ses01F_impro03_F017,"Uh, I think seven hundred and fifty dollars.",82.0975,85.08,NEUTRAL STATE,validate
Ses01F_impro03_F018,Penny slots. That's what he plays.,85.1,88.0225,NEUTRAL STATE,validate
Ses01F_impro03_F019,Yeah.,88.08,89.5,NEUTRAL STATE,train
Ses01F_impro03_F020,Oh.,91.235,92.615,HAPPINESS,train
Ses01F_impro03_F021,Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like-,92.75,98.21,HAPPINESS,validate
Ses01F_impro03_F022,Fifty bucks. Mmhmm.,99.7775,102.03,NEUTRAL STATE,test
Ses01F_impro03_F023,Yeah.,102.62,103.4625,NEUTRAL STATE,train
Ses01F_impro03_F024,Well so now we're married. We have cat children.,103.78,108.1825,HAPPINESS,train
Ses01F_impro03_F025,"We renamed Brenda, Lumber Janet.",110.23,114.16,HAPPINESS,train
Ses01F_impro03_F026,She needs a new name each state that we go into. [LAUGHTER],114.19,120.2,HAPPINESS,train
Ses01F_impro03_M000,So what's up?  What's new?,3.24,5.46,NEUTRAL STATE,train
Ses01F_impro03_M001,Yeah.  I heard.,6.6,8.66,NEUTRAL STATE,validate
Ses01F_impro03_M002,Shut up.  No- in Vegas?,10.53,13.84,SURPRISE,train
Ses01F_impro03_M003,Who did you marry?,14.93,18.9075,EXCITED,train
Ses01F_impro03_M004,Did you propose to you?,20.2532,22.83,EXCITED,test
Ses01F_impro03_M005,Oh.  The Wheel of Fortune slots?,27.28,29.65,EXCITED,train
Ses01F_impro03_M006,He turned to you and was like...,34.25,36.34,NEUTRAL STATE,test
Ses01F_impro03_M007,[LAUGHTER] That's really romantic.,37.7175,40.47,HAPPINESS,test
Ses01F_impro03_M008,Yeah.,42.09,43.41,NEUTRAL STATE,train
Ses01F_impro03_M009,"Does that mean that you're going to get citizenship, too, in- in England or whatever?",44.16,49.07,NEUTRAL STATE,train
Ses01F_impro03_M010,Yeah.  Think about that.,49.61,52.43,EXCITED,validate
Ses01F_impro03_M011,Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?,52.92,56.85,NEUTRAL STATE,test
Ses01F_impro03_M012,"Oh, how are you going to do the long distance thing?  So wait, are you going to move there?",57.46,61.375,HAPPINESS,validate
Ses01F_impro03_M013,Like you need another one of those.[LAUGHTER],65.6425,68.44,HAPPINESS,train
Ses01F_impro03_M014,Is that your phone?,73.41,76.9975,HAPPINESS,test
Ses01F_impro03_M015,He loves you.,78.32,80.5,HAPPINESS,train
Ses01F_impro03_M016,How much did he win at the slot?,80.7175,82.5225,NEUTRAL STATE,validate
Ses01F_impro03_M017,Really? Penny slots?,84.6925,87.36,SURPRISE,train
Ses01F_impro03_M018,Wow.,87.6425,89.08,SURPRISE,train
Ses01F_impro03_M019,I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know.,89.12,93.91,NEUTRAL STATE,train
Ses01F_impro03_M020,"But the pennies always get you because you end up spending like, you know, fifty bucks.",97.03,101.65,NEUTRAL STATE,test
Ses01F_impro03_M021,"like, wait, but it's just pennies.  You're like, wait a minute I'm on to you.",101.67,104.35,NEUTRAL STATE,train
Ses01F_impro03_M022,Awesome.,105.29,106.95,EXCITED,train
Ses01F_impro03_M023,[LAUGHTER] Cat babies.,107.71,111.4,HAPPINESS,test
Ses01F_impro03_M024,That's fair enough.,117.36,119.58,NEUTRAL STATE,train
Ses01F_impro04_F000,"Uh, what?  Craig's List?  Oh the internet thing?",7.2455,11.64,NEUTRAL STATE,train
Ses01F_impro04_F001,I don't know.  Isn't that-- that's all like escort services and things like that.,11.7448,16.15,NEUTRAL STATE,train
Ses01F_impro04_F002,"I don't know.  I mean I've been looking for so long that I just figured that--  I mean, I think things like Monster are a lot more reliable than just some random free board.",18.6,30.8976,FRUSTRATION,test
Ses01F_impro04_F003,What kind of a job?,35.009,37.8,FRUSTRATION,test
Ses01F_impro04_F004,Really?,40.23,41.95,FRUSTRATION,train
Ses01F_impro04_F005,He just...,43.35,45.7596,NEUTRAL STATE,test
Ses01F_impro04_F006,you know what?  I heard about that job.  I applied for that.,46.2735,49.83,NEUTRAL STATE,train
Ses01F_impro04_F007,Yeah.  I saw a posting at the theatre.,50.11,54.31,FRUSTRATION,validate
Ses01F_impro04_F008,He got it?,54.37,55.67,FRUSTRATION,train
Ses01F_impro04_F009,Yeah.,58.71,60.0937,NEUTRAL STATE,train
Ses01F_impro04_F010,What did he do?  What was so great?  I don't understand why they would pick him over me.,60.6771,66.5275,NEUTRAL STATE,validate
Ses01F_impro04_F011,A resume?,69.43,70.94,FRUSTRATION,train
Ses01F_impro04_F012,No.,72.13,74.73,FRUSTRATION,train
Ses01F_impro04_F013,I just- I mean I call people up and I tell them what I'm good at.,76.49,80.7269,NEUTRAL STATE,train
Ses01F_impro04_F014,Yeah.,85.49,86.98,NEUTRAL STATE,train
Ses01F_impro04_F015,I don't like- I don't like sending things in the mail.  I don't want my information out there.,87.2203,93.33,FRUSTRATION,train
Ses01F_impro04_F016,I'm there in front of them.  I'm telling them what I'm good at.,97.41,101.0475,FRUSTRATION,test
Ses01F_impro04_F017,Why?  It's a piece of paper.,102.78,105.415,FRUSTRATION,train
Ses01F_impro04_F018,"I just don't want this paper trail, you know.  I just don't want things following me around, like-.",106.17,111.86,FRUSTRATION,train
Ses01F_impro04_F019,"It's just-- You know, I've had this problem before.  You're not the first person to tell me that I need a resume but...",114.92,122.31,FRUSTRATION,train
Ses01F_impro04_F020,..I just-..I just think it's kind of prejudiced and they are really discriminating against people who just aren't that way.,122.4,129.93,ANGER,train
Ses01F_impro04_F021,"That's baloney, that's baloney.",133.74,137.44,FRUSTRATION,train
Ses01F_impro04_F022,Please.,138.13,139.89,FRUSTRATION,train
Ses01F_impro04_F023,you think that you're better than me because I don't have a car?,148.55,152.85,FRUSTRATION,train
Ses01F_impro04_F024,"You know, you're riding the bus, too.",153.18,155.2925,FRUSTRATION,train
Ses01F_impro04_F025,Why?  What choice?,157.1625,159.7,FRUSTRATION,train
Ses01F_impro04_F026,You're saving the environment. mmhmm,161.0787,163.78,FRUSTRATION,train
Ses01F_impro04_F027,Interesting.  That's fantastic.,164.3925,167.565,FRUSTRATION,validate
Ses01F_impro04_F028,I'm not frustrated.,170.83,172.84,ANGER,train
Ses01F_impro04_F029,Who do you think you are?,175.27,178.43,ANGER,train
Ses01F_impro04_F030,You are so high and mighty.  I just--,180.3025,183.4875,ANGER,validate
Ses01F_impro04_F031,Oh.  I'm saving the environment. I'm riding this car because I- I want to.,184.47,188.87,ANGER,test
Ses01F_impro04_F032,"The bus, I'm riding the bus because I want to.",189.12,192.02,ANGER,train
Ses01F_impro04_F033,I can not-- you are not here by choice.  Nobody would ride this bus by choice.,193.5875,199.4325,ANGER,train
Ses01F_impro04_M000,"Have you tried, uh, Craig's List?",2.7418,6.6575,NEUTRAL STATE,train
Ses01F_impro04_M001,Yeah.,10.46,12.13,NEUTRAL STATE,train
Ses01F_impro04_M002,No.  There's regular jobs on there.,15.64,18.9,NEUTRAL STATE,train
Ses01F_impro04_M003,Uh huh.,26.91,28.71,NEUTRAL STATE,validate
Ses01F_impro04_M004,I'm just saying I have a friend that got a good job on it so I was just recommending it.,30.88,35.5225,NEUTRAL STATE,train
Ses01F_impro04_M005,He's like a manager for a theatre.,37.19,40.53,NEUTRAL STATE,train
Ses01F_impro04_M006,He's like a house manager. Yeah.  It's a good job.,40.54,43.576,NEUTRAL STATE,train
Ses01F_impro04_M007,You did?,49.39,50.58,NEUTRAL STATE,train
Ses01F_impro04_M008,Yeah.,55.21,56.33,NEUTRAL STATE,train
Ses01F_impro04_M009,You've been looking for a job for a long time; that was a long time ago.  Right?,56.35,59.0245,NEUTRAL STATE,train
Ses01F_impro04_M010,Hmm.,59.8,61.55,NEUTRAL STATE,train
Ses01F_impro04_M011,I don't know.  He had a really good resume I guess and--,65.97,69.77,NEUTRAL STATE,train
Ses01F_impro04_M012,Yeah.  Do you have a resume?,70.38,72.7264,NEUTRAL STATE,train
Ses01F_impro04_M013,It's kind of helpful when getting a job.,73.7473,77.15,NEUTRAL STATE,train
Ses01F_impro04_M014,Well maybe we should sit down some time and you can just tell me all the stuff that you have done and I'll write it out.,80.1435,87.81,NEUTRAL STATE,train
Ses01F_impro04_M015,"No.  You can- or you can just bring it in person.  But they need, generally, something to see, you know, what kind of what that you've done, what kind of--",92.37,99.27,NEUTRAL STATE,train
Ses01F_impro04_M016,"Yeah.  But the piece of paper helps, too.",100.485,103.47,NEUTRAL STATE,train
Ses01F_impro04_M017,"No.  But it has an outline, you know.",104.97,107.78,NEUTRAL STATE,train
Ses01F_impro04_M018,"I know.  Okay.  Well, um. Maybe--",111.66,117.725,NEUTRAL STATE,validate
Ses01F_impro04_M019,Yeah.,118.46,119.77,NEUTRAL STATE,test
Ses01F_impro04_M020,"Okay, yeah.  I would imagine.",121.5,123.42,NEUTRAL STATE,train
Ses01F_impro04_M021,"Well, sometimes you have to do things that you don't necessarily like to do to have a job. But the job affords you money, you won't have to be taking the bus right now.",129.43,139.16,NEUTRAL STATE,train
Ses01F_impro04_M022,maybe get a car.,139.5219,141.8225,NEUTRAL STATE,validate
Ses01F_impro04_M023,"I just, you know, think you should try a little harder maybe.",144.9125,149.51,NEUTRAL STATE,train
Ses01F_impro04_M024,I didn't say that.,151.84,154.03,NEUTRAL STATE,train
Ses01F_impro04_M025,"I am riding the bus, but by choice.",154.6,157.8,NEUTRAL STATE,train
Ses01F_impro04_M026,"To save the environment, carpool.",158.95,161.35,NEUTRAL STATE,validate
Ses01F_impro04_M027,Yes.  One less car at a time.,162.12,164.7825,NEUTRAL STATE,train
Ses01F_impro04_M028,Mmhmm.,165.47,166.71,NEUTRAL STATE,train
Ses01F_impro04_M029,"You know, you don't have to take out your frustration on me, you know, just because...",167.05,171.43,FRUSTRATION,validate
Ses01F_impro04_M030,...you can't get a job and refuse to have a resume.,171.75,175.26,FRUSTRATION,train
Ses01F_impro04_M031,I don't think I'm anyone.,178.0033,180.865,NEUTRAL STATE,validate
Ses01F_impro04_M032,I- I-I didn't-- okay.,182.82,185.54,NEUTRAL STATE,test
Ses01F_impro04_M033,What?  No.,186.12,187.4625,FRUSTRATION,train
Ses01F_impro04_M034,What? Oh.  So now you're...,188.01,190.71,FRUSTRATION,train
Ses01F_impro04_M035,you know what?  You don't have to take your anger and your hurt out on me.,191.28,195.13,FRUSTRATION,train
Ses01F_impro05_F000,Hi.,4.24,5.23,FRUSTRATION,train
Ses01F_impro05_F001,Yeah. This is the fourth line that I have been in.,5.26,7.16,FRUSTRATION,train
Ses01F_impro05_F002,I need my bag.,7.35,8.85,FRUSTRATION,train
Ses01F_impro05_F003,"I flew in over three hours ago, I've been in four different lines.",9.2,13.02,FRUSTRATION,test
Ses01F_impro05_F004,I waited the entire baggage- I waited for the whole baggage carousel four times.  They told me to go to the next one.  I waited through that for three planes and now I'm here.,13.04,22.74,FRUSTRATION,train
Ses01F_impro05_F005,Nash.,25.35,26.76,FRUSTRATION,train
Ses01F_impro05_F006,No G.,28.24,29.91,ANGER,validate
Ses01F_impro05_F007,Yes.,32.19,33.5,FRUSTRATION,train
Ses01F_impro05_F008,Flight seven fourteen.,33.78,35.9,ANGER,train
Ses01F_impro05_F009,"Am I going to be getting, like, free tickets, free mileage. When can I expect my bag here?",36.71,44.03,ANGER,test
Ses01F_impro05_F010,"Oh, Are you kidding me?",69.55,73.76,ANGER,test
Ses01F_impro05_F011,Is this a joke?,73.87,75.5375,ANGER,train
Ses01F_impro05_F012,"Are there candid cameras?  Is this that movie? There's that show, right?  Airplane, airline.",75.61,80.73,ANGER,test
Ses01F_impro05_F013,So you'll give me money and then I'll get my bag?,82.75,86.06,ANGER,validate
Ses01F_impro05_F014,"You're kidding me, this is a joke.",99.52,102.9,ANGER,train
Ses01F_impro05_F015,Do you have any idea-- fifty dollars?  That's supposed to replace everything that I have?  Do you understand how much I have packed in there? Not only does it have sentimental value; it can't be replaced like that.  It was incredibly expensive.,103.005,118.5,ANGER,train
Ses01F_impro05_F016,We flew in from Paris.  I've been shopping for three weeks.,118.53,122.44,ANGER,test
Ses01F_impro05_F017,I don't care what you're freaking sign says.  Somebody- Somebody needs to replace everything I've got there and give me money for my inconvenience.,127.485,136.85,ANGER,test
Ses01F_impro05_F018,Do you understand who my husband is?,137.715,140.11,ANGER,train
Ses01F_impro05_F019,"If you're- if you're- if you're looking for a lawsuit, baby, you've found it.",140.225,145.6,ANGER,train
Ses01F_impro05_F020,Oh-Oh.  It's a gift.  You're-You're helping me out here?,149.365,153.8,ANGER,validate
Ses01F_impro05_F021,You are cruising for a bruising.  You are in so much trouble.,155.6,160.36,ANGER,validate
Ses01F_impro05_F022,Who's in charge?  Who is the president of Jet Blue?,160.41,163.7975,ANGER,test
Ses01F_impro05_F023,Because I probably know him.,163.88,165.8,ANGER,validate
Ses01F_impro05_F024,Yeah.,166.33,167.71,ANGER,train
Ses01F_impro05_F025,"I don't want money, I want my clothes.",171.09,174.2,ANGER,train
Ses01F_impro05_F026,What's your name?,177.6025,179.09,ANGER,train
Ses01F_impro05_F027,Sean.  Great. Do you have a badge number or something?,179.22,183.845,ANGER,train
Ses01F_impro05_F028,Okay.  I'll do that.,188.78,190.8975,ANGER,train
Ses01F_impro05_F029,I don't think you have done everything you could do because I don't have my bag here yet.,195.38,199.33,ANGER,validate
Ses01F_impro05_F030,A letter? I'll make a personal phone call.,202.86,206.17,ANGER,test
Ses01F_impro05_M000,Hi.  Thanks for waiting.,3.61,5.19,NEUTRAL STATE,validate
Ses01F_impro05_M001,Can I help you?,5.21,6.44,HAPPINESS,train
Ses01F_impro05_M002,Uh huh.,6.6,7.71,HAPPINESS,train
Ses01F_impro05_M003,Okay.,8.32,9.8,NEUTRAL STATE,test
Ses01F_impro05_M004,Okay.,12.26,13.78,NEUTRAL STATE,test
Ses01F_impro05_M005,Okay.  Great.  I'm really sorry that you had to do that.  What's your last name?  Let's start there.,21.84,25.9,NEUTRAL STATE,validate
Ses01F_impro05_M006,Okay.,25.99,27.7272,NEUTRAL STATE,train
Ses01F_impro05_M007,all right- okay.  And you lost your bag? Is that- that the issue?,28.29,34.1425,NEUTRAL STATE,validate
Ses01F_impro05_M008,Uh-huh.,34.7,36.52,NEUTRAL STATE,train
Ses01F_impro05_M009,"Yeah. Yeah, I don't see- I don't see any--",36.91,42.76,NEUTRAL STATE,train
Ses01F_impro05_M010,"I don't see any record of it, and I-usually when I don't see a record of it, that means um-",43.86,49.97,NEUTRAL STATE,train
Ses01F_impro05_M011,"we've mistakenly lost your baggage.  We're very sorry.  On behalf of Jet Blue I would like to apologize for any inconvenience.  I am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us.  I'm very sorry, once again...",49.97,70.26,NEUTRAL STATE,train
Ses01F_impro05_M012,"for such an inconvenience and your bag, but",70.38,73.14,NEUTRAL STATE,train
Ses01F_impro05_M013,Yeah.,73.55,74.99,NEUTRAL STATE,train
Ses01F_impro05_M014,"No, no.",75.03,76.48,NEUTRAL STATE,train
Ses01F_impro05_M015,"No, no.  This is real.",80.22,83.2425,NEUTRAL STATE,train
Ses01F_impro05_M016,"No.  I'm just giving you money, the bag is gone.  If it's not here, I'm really sorry there is nothing I can do because...",85.72,93.9575,NEUTRAL STATE,train
Ses01F_impro05_M017,this is the only track record that we have and if it's not listed here then it's probably not anywhere.,94.005,100.4,NEUTRAL STATE,train
Ses01F_impro05_M018,"Once again, I'm really- I'm really sorry.",100.55,103.68,FRUSTRATION,test
Ses01F_impro05_M019,Yes.,111.28,112.81,NEUTRAL STATE,train
Ses01F_impro05_M020,I know.,118.04,119.37,NEUTRAL STATE,test
Ses01F_impro05_M021,"I'm very sorry.  But if you see the sign that's right behind me here, it spells it out really clearly that we are not held liable--",121.19,129.23,FRUSTRATION,validate
Ses01F_impro05_M022,Okay. Calm-,131.02,133.25,NEUTRAL STATE,validate
Ses01F_impro05_M023,"Actually, we are not necessarily liable to give you- to even give you this fifty dollars so... it's actually- it's actually really",136.19,143.5,NEUTRAL STATE,test
Ses01F_impro05_M024,"We are actually not even allowed--  you know, like we don't have to give you this fifty dollars.  We don't have to do that.",144.85,151.16,NEUTRAL STATE,validate
Ses01F_impro05_M025,It's a gift.,151.335,152.71,NEUTRAL STATE,test
Ses01F_impro05_M026,"You know, the airlines can not be held responsible for every bag of luggage that comes through here.",152.8325,158.58,NEUTRAL STATE,train
Ses01F_impro05_M027,With the amount of--,159.66,161.37,NEUTRAL STATE,validate
Ses01F_impro05_M028,"Um, actually, I don't know. I don't know. Oh really?",163.25,166.99,NEUTRAL STATE,test
Ses01F_impro05_M029,Well then maybe you can just call him and he can give you more money.  But right now all I can do--,167.15,173.63,NEUTRAL STATE,train
Ses01F_impro05_M030,"Right now all I can do is just give you this fifty dollars, I'm really sorry.",173.7325,178.2625,NEUTRAL STATE,train
Ses01F_impro05_M031,Oh.  My name is Sean. Hi.,178.59,180.87,NEUTRAL STATE,train
Ses01F_impro05_M032,"Badge number?  Uh, no.  You can just take my employee number I guess.",183.14,189.3875,SURPRISE,train
Ses01F_impro05_M033,Why?  Have I done something wrong?  Have I given you bad service?  I feel like I have done the best I could.,190.23,196.9,SURPRISE,train
Ses01F_impro05_M034,"If you want, you can write a letter.  I can give you the address. Yes.  An angry--",198.66,205.17,NEUTRAL STATE,train
Ses01F_impro05_M035,"Or you can make a phone call.  But I think a letter might be a little more-- in my impression, letters have more...",205.63,211.94,NEUTRAL STATE,train
Ses01F_impro06_F000,It's okay.,14.7939,18.17,SADNESS,train
Ses01F_impro06_F001,"No, no, no.",24.02,25.69,FRUSTRATION,test
Ses01F_impro06_F002,No.,26.07,27.65,SADNESS,train
Ses01F_impro06_F003,That's sweet.,34.45,35.78,NEUTRAL STATE,test
Ses01F_impro06_F004,Thank you.,36.07,38.04,NEUTRAL STATE,train
Ses01F_impro06_F005,I went to see her headstone a week or two ago.,39.6025,46.29,SADNESS,validate
Ses01F_impro06_F006,"I used to go to cemeteries a lot before she died.  I just, you know, I felt like they were urban oasis, you know, there is always this green in the city.",47.34,59.38,SADNESS,train
Ses01F_impro06_F007,So I was like wandering around before.  It takes forever to find her headstone; I always lose it. You know.,59.4525,67.4525,SADNESS,validate
Ses01F_impro06_F008,So I was looking at this other one and there was like a piece of candy there and I thought that I would take the candy and put it on her headstone.  And-,70.22,80.13,SADNESS,validate
Ses01F_impro06_F009,"this woman came up and, you know, it was hers. It was her person that was there.",80.16,87.74,NEUTRAL STATE,validate
Ses01F_impro06_F010,"Yeah.  And she was like, that's pathetic, I hope you enjoy it.",87.83,93.67,SADNESS,train
Ses01F_impro06_F011,"And I, you know, I mean, I said I was sorry and I brought it back to her kind of and I like put it on the ground and she was like, no, it's fine.  She was like, I would rather have her back, honestly.",101.83,116.91,SADNESS,train
Ses01F_impro06_F012,"I don't know.  It just, like, I felt so bad because I shouldn't have done it.  I don't know.  Whatever.",117.07,126.04,SADNESS,test
Ses01F_impro06_F013,I don't know.,132.9575,134.49,SADNESS,train
Ses01F_impro06_F014,At the cemetery?,135.96,137.95,SADNESS,train
Ses01F_impro06_F015,couple hours.,138.0685,141.05,SADNESS,train
Ses01F_impro06_F016,"I brought- I brought Chuck with me. He went to Redlands, yeah, for the day.  We ran through the sprinklers.",141.84,149.4375,NEUTRAL STATE,train
